Code,Company Name
MARK,Mark Dynamics Indonesia 
NASA,Andalan Perkasa Abadi 
MDKI,Emdeki Utama 
BELL,Trisula Textile Industries 
KIOS,Kioson Komersial Indonesia 
PPRE,PP Presisi 
WEGE,Wijaya Karya Bangunan Gedung T
PSSI,IMC Pelita Logistik 
MORA,Mora Telematika Indonesia 
DWGL,Dwi Guna Laksana 
PBID,Panca Budi Idaman 
JMAS,Asuransi Jiwa Syariah Jasa Mit
CAMP,Campina Ice Cream Industry 
IPCM,Jasa Armada Indonesia 
PCAR,Prima Cakrawala Abadi 
LCKM,LCK Global Kedaton 
BOSS,Borneo Olah Sarana Sukses 
HELI,Jaya Trishindo 
JSKY,Sky Energy Indonesia 
INPS,Indah Prakasa Sentosa 
GHON,Gihon Telekomunikasi Indonesia
TDPM,Tianrong Chemicals Industry
DFAM,Dafam Property Indonesia 
NICK,Charnic Capital 
BTPS,Bank BTPN Syariah 
SPTO,Surya Pertiwi 
PRIM,Royal Prima 
HEAL,Medikaloka Hermina 
TRUK,Guna Timur Raya 
PZZA,Sarimelati Kencana 
TUGU,Asuransi Tugu Pratama Indonesi
MSIN,MNC Digital Entertainment 
SWAT,Sriwahana Adityakarta 
KPAL,Steadfast Marine 
TNCA,Trimuda Nuansa Citra 
MAPA,Map Aktif Adiperkasa 
TCPI,Transcoal Pacific 
IPCC,Indonesia Kendaraan Terminal T
RISE,Jaya Sukses Makmur Sentosa 
BPTR,Batavia Prosperindo Trans 
POLL,Pollux Properties Indonesia
NFCX,NFC Indonesia 
MGRO,Mahkota Group 
NUSA,Sinergi Megah Internusa 
FILM,MD Entertainment 
ANDI,Andira Agro 
LAND,Trimitra Propertindo 
MOLI,Madusari Murni Indah 
PANI,Pantai Indah Kapuk Dua 
DIGI,Arkadia Digital Media 
CITY,Natura City Developments 
SAPX,Satria Antaran Prima 
KPAS,Cottonindo Ariesta 
SURE,Super Energy 
HKMU,HK Metals Utama 
MPRO,Maha Properti Indonesia 
DUCK,Jaya Bersama Indo 
GOOD,Garudafood Putra Putri Jaya
SKRN,Superkrane Mitra Utama 
YELO,Yelooo Integra Datanet 
CAKK,Cahayaputra Asa Keramik 
SATU,Kota Satu Properti 
ZONE,Mega Perintis 
PEHA,Phapros 
FOOD,Sentra Food Indonesia 
BEEF,Estika Tata Tiara 
POLI,Pollux Hotels Group 
CLAY,Citra Putra Realty 
NATO,Surya Permata Andalan 
JAYA,Armada Berjaya Trans 
